Wetland_Code,TotalPerGram,P.Diptera,P.Ephemeroptera,P.Trichoptera,P.Odonata,P.Gastropoda,P.Zooplank,P.Terrestrial,P.Oligochaeta,P.Amphipoda,P.OtherInsects,P.OtherNonInsecta
63N001,833.0994036,0.093844011,0.445117868,0.007204421,0.065784999,0.102118219,0.129010549,0.002605588,0.095744316,0.027866542,0.011973972,0.018729517
63N002,120.2614379,0.057065218,0,0,0.149456522,0.122282608,0.138586956,0,0,0.5,0.016304348,0.016304348
63N003,23.33333333,0.142857143,0.142857143,0,0.047619048,0.095238095,0.476190476,0.095238095,0,0,0,0
63N004,24.46043166,0.558823529,0.058823529,0,0,0.029411765,0,0,0,0.264705882,0,0.088235294
63S001,184.9557522,0.100477507,0.186601085,0.004784643,0.138754653,0.023923216,0.009569286,0,0.004784643,0.449756462,0.028707858,0.052631075
63S002,165.5475093,0.314687169,0.056137328,0.012327678,0.025318134,0.070453341,0.388984624,0,0.012990456,0.012659067,0.044472429,0.061969777
ABW 4,76.74074073,0.555662806,0.015444015,0,0.011904762,0.028635779,0.061776061,0.001608752,0.19047619,0.06016731,0.012870014,0.061454312
ABW05,702.7463139,0.223908198,0,0,0.002454805,0.031047878,0.045788908,0.004465585,0.655958463,0.001591164,0.018675288,0.016109713
ABW07,76.89634651,0.243665656,0,0,0.005008315,0.042170174,0.056381355,0.004631595,0.521002636,0,0.125321516,0.001818753
AIR,82.19918276,0.155128489,0.403642061,0.00719263,0.077423876,0.099043107,0.039864992,0.001027519,0.031108128,0.149414671,0.018501612,0.017652916
ATH 3,80.37135279,0.320132013,0.03960396,0,0,0.161716171,0.267326733,0.00660066,0,0,0.168316831,0.03630363
ATP01,641.875,0.171018854,0.028149066,0.020801983,0.240771887,0.076391962,0.181464105,0,0.091351686,0.116137028,0.068690802,0.005222625
ATP04,1352.727273,0.41532258,0.061827957,0.018817204,0.11155914,0.012096774,0.137096774,0,0.155913978,0.079301075,0.004032258,0.004032258
BOO,805.7613275,0.309573889,0.03498863,0.000246243,0.019285978,0.013849198,0.321403612,0,0.003232816,0.230078641,0.017845964,0.049495028
CND,159.6197868,0.453895289,0,0,0.001867329,0.063985531,0.290254413,0,0.148091121,0,0.007540635,0.034365682
ECP,639.3258427,0.267135324,0.253075571,0.036906854,0.019332161,0.040421793,0.20738137,0,0.028119508,0.121265378,0.007029876,0.019332161
EIP 7,40.96389741,0.718843045,0,0,0.013568694,0,0.250531689,0,0.001446193,0,0.015610379,0
EIP02,543.1818182,0.581589958,0,0,0.0041841,0.016736401,0.301255229,0.0041841,0,0.0041841,0.058577405,0.029288703
EIP03E,92.01520913,0.533057851,0,0,0.078512396,0,0.338842975,0,0.004132231,0,0.037190082,0.008264463
ETP,571.1111111,0.530718821,0.001843129,0,0.011877943,0.021400778,0.222199467,0.005017407,0.102805652,0,0.075875486,0.028261314
FMC-E,401.2917049,0.820262086,0,0.002745954,0.069915027,0.029862244,0.057665024,0.002745954,0.002745954,0,0.013714512,0
GFP,171.4640199,0.387361313,0.191027496,0.011577424,0.076700434,0.07959479,0.106126388,0.004823927,0.043897733,0.042932947,0.018813314,0.037144236
GLD,523.0563726,0.194867085,0.017328391,0,0.00605416,0.050940223,0.113178106,0.006115076,0.293270605,0.294315557,0.012731541,0.011199257
GPW,348.4962406,0.190025724,0.202555804,0.020330263,0.235167207,0.076923077,0.16704008,0.003900091,0.030121982,0.043896772,0.003900091,0.02613891
GRG 1,102.583134,0.439928746,0.040223439,0.00593785,0.084163532,0.029491325,0.173913043,0.019243034,0.001627411,0.031118735,0.033603835,0.140749049
GRG 2,332.98255,0.364990023,0.06060528,0.007732406,0.010289588,0.029139215,0.085520751,0.002612325,0.038758356,0.100777853,0.023276007,0.274984627
GTW,413.5911253,0.218279776,0.330702102,0.008666676,0.009756498,0.018895702,0.23655955,0,0,0.126471191,0.050357128,0.000311378
HGSA,664.3678161,0.038062284,0.015570934,0.001730104,0.086505191,0.807958478,0.017301038,0.019031142,0,0.003460208,0.010380624,0
MD8S,1105.084848,0.562786892,0,0,0.009928827,0.033133468,0.301938201,0,0.083483864,0,0.003309608,0.005419139
MRW,414.1406147,0.287368999,0.10905203,0.01785325,0.094912352,0.231317588,0.067305994,0.000534212,0.040322301,0.066835319,0.016340063,0.068157892
RMP,340.7545047,0.433922677,0.065533031,0.008668431,0.044541805,0.015741493,0.133680582,0,0.189295569,0.042650573,0.037856029,0.028109809
RTM02,137.259537,0.250784658,0,0,0,0.054579805,0.167127077,0.003199575,0.519298847,0,0.00501004,0
SBD-S,148.8622272,0.791584427,0.001321761,0.006190516,0.002013733,0.025026416,0.136455702,0,0.024762063,0,0.000264352,0.012381032
SBP03,2850.273822,0.356569188,0.166967683,0.006993813,0.084156323,0.056488491,0.203435422,0.006378972,0.053260578,0.01268109,0.038043268,0.01502517
SHF,949.3612079,0.71935405,0,0,0.040738929,0,0.212992415,0.003914852,0.000856374,0,0.001712748,0.020430634
SLW,1186.666667,0.471910112,0.005617978,0,0.196629214,0.011235955,0.230337078,0.005617978,0.033707865,0.016853933,0.005617978,0.022471911
SNR,161.0782609,0.5222954,0.003400993,0.008151587,0.020244009,0.013496006,0.04216152,0.004750594,0.23871734,0,0.009501187,0.137281365
SNR 2,412.9370629,0.345288498,0.258316196,0.003265997,0.075843716,0.049534293,0.098766178,0.004052256,0.013063989,0.133301077,0.008890771,0.00967703
SPC,118.2973645,0.398594845,0.00397109,0,0.00356757,0.28126479,0.00794218,0.001783785,0.160627379,0,0.081935313,0.060313049
STW,2814.128886,0.172174724,0.005633964,0.000151859,0.008522914,0.031244962,0.365314995,0.005330246,0.30081129,0.004441872,0.04886059,0.057512585
SWS 16,591.0475548,0.19812034,0.007063492,0.001765873,0.074641116,0.291977385,0.332846422,0.003443157,0.049970077,0.001765873,0.019424605,0.01898166
SWSS05,394.2857143,0.944444445,0,0,0.009661836,0.004830918,0.012077295,0.002415459,0.002415459,0.002415459,0.021739131,0
SWSS15,445.6938481,0.390792631,0.007951749,0,0.086684688,0.021667068,0.305503798,0.002010186,0.060216589,0.089301429,0.017780189,0.018091675
W1E,114.9643705,0.061983471,0,0,0.055785125,0.590909091,0.105371901,0,0.045454545,0,0.138429753,0.002066116
W1S1,434.3746547,0.114834225,0.184842274,0.005695448,0.147851836,0.169128831,0.130586839,0.002847724,0.034172689,0.160138017,0.044640322,0.002414071
W1S8,470.3042328,0.330360073,0.274473039,0.002406288,0.145741117,0.107910169,0.043549788,0,0.026011567,0.018792704,0.040554205,0.010201052
WBM,67.92705106,0.369871557,0.217778755,0.010607627,0.084308452,0,0.253067466,0,0,0,0.042868935,0.021497208
